label	data
0	同志们，当心当当网的送货人，一群骗子,当当网的客服也是一群骗子
0	我是14号下的订单、汇的款，怎么还没到呀？
0	盛名之下,难符其实.易中天的序也甚敷衍.
0	9月5日的订单，到今天（18日）还没到货！
0	那本英文单词的书还可以，其它3本不好。
0	并不如介绍中的好，小孩不喜欢，翻一次就掉一边去了
0	很一般啊，和很多绘本比起来，并不精彩。
0	2月21日订的货,到现在还没到,怎么这么慢呀!
0	书很貴。儿子也不怎么看。唉！他更喜欢玩。
0	我儿子很喜欢。如果可分开有选择买哪册，会更好。
0	图画凌乱，孩子不喜欢。不适合3岁多的孩子
0	总的来说有点乱七八糟的感觉。重复又重复。
0	这套书太乱，女儿一点看的兴趣都没有。买来就束之高阁了。
0	讲的都是真理、道理，词藻华丽太做作。
0	孩子2岁半，不喜欢，可能大一点会好些
0	于丹的书以后就不买了，于圣人与我们离得太远
0	看了书评买的,可是儿子不喜欢,连一次都没听完.只好送人了.
0	网上看推荐买回来，发现书比较一般。
0	好大一本，内容少，字少。 小一点孩子看开本太大，硬硬的。大一点孩子看内容太少
0	自已没文化吧。受不了高文化的东西。
0	我是6月4号订单，至今没有收到书，谢谢
0	印刷质量极差 缺页 重复页 活像盗版书
0	17号订的货，现在都没收到，无从评论
0	拍了快一个月了，根本没收到！！！！！！！
0	我买了杜拉拉升职记这书寄给朋友，朋友说到现在还没收到，有点晕了，都快半个月了啊！！！
0	不怎么样。男的我觉得看的没什么意思。
0	象一部小说一样写着拉拉的经历，很有意思
0	不知道是不是假货?我正准备举报呢?
0	配音居然是日本的~~~~~~~~完全是烂货！！！
0	有几张图像不清晰，真是不敢想象！
0	我儿子14个月,根本不看.呵,跟我期望的也有差距
0	我两周前定购了这本书，到现在都未收到！速度太慢了！
0	当当书多,服务差,承诺退的书 还是没有退
0	超级不喜欢这本书超级不喜欢这本书
0	实在太无聊的书了  一点意义都没有
0	没意思，把庄子写成了一本心灵鸡汤。
0	果然又是一篇说教的滥文章！果然又是一篇说教的滥文章！果然又是一篇说教的滥文章！果然又是一篇说教的滥文章！果然又是一篇说教的滥文章！果然又是一篇说教的滥文章！果然又是一篇说教的滥文章！
0	一点都不好看 刚翻几页就不想看了 没办法吸引读者
0	没有什么太大的感觉，读了一半就放下了
0	抱了很大的期望，但是内容很一般，不值得收藏
0	错了  不是这本书   是另外一本真是抱歉  不是这本书  这本书挺好的
0	很后悔,不怎么样的一本书,千万别买
0	书页码不全，还乱序，乱七八糟的！！！！！！！
0	书不错。就是那个速度的  慢的要死
0	韩国人写的太浅显了，没有实质性内容
0	我晕，我的订单包括这本书，订单的其它东东货有到手上，偏偏这本书给落了。
0	看了一点&#183;&#183;就没看了&#183;&#183;
0	粗粗地翻了下 买了后很后悔是本垃圾书 劝大家不要买
0	题目好 但内容空 给人感觉在说空话
0	这本书真的是华而不实，装祯挺好，内容一般，后悔买了
0	超无聊,棒子国的人写的无聊的书,看来跟风买畅销书十分不明智.
0	也许是偶太老了。。。也许是写的太浅了。。。没感觉...
0	书上写的大多数都是大道理。。。不看也明白的那些。。。。
0	没办法看下去！太现实了！没办法理解。呵呵
0	实在读不下去，平铺直叙。但买了不看也太浪费了。
0	我要修正,是五星的.可怎么也点不上.
0	送货速度很慢，１８号发货，要到年后才能收到！
0	第二册有第一册的重影，占到本册的一半，希望能够调货。
0	孩子根本就不想看，排名榜第一是怎么排的？
0	可能才2岁，还不喜欢看。一点都不喜欢
0	还没有收到书！！！还没有收到书111
0	两个星期了，书还没送到，我倒有点不高兴了
0	书非常好，是广州库房特别慢，一个件配货配6天。
0	新买来的书，刚看了一次就全都掉页了！！！！
0	我是在儿子三岁时买的这套 书，儿子很喜欢。
0	有点名不符实， 书的内容太简单， 小孩看过一遍后就用不上了
0	这本书好像不太适合2岁多的儿童看！！
0	waste of my money.  My children are not interested.
0	感觉不是很适合太小的孩子，不太喜欢，
0	满怀欣喜给5岁的侄子买了这套书，他不喜欢
0	此套书我感觉不错,但孩子(三岁)不太喜欢!
0	看了,就觉得胡兰成恶心,为张爱铃不值
0	不喜欢其人，更不喜欢其文，古韵有些过头，矫情！
0	看了上，很是一般，没动力买下下册了。
0	我买了一套，是冲着作者买的。没什么内容和深度。
0	读了，没有太大的感觉，太一般，可读性不强．
0	建议对心理学感兴趣的还是买专业的书看吧
0	让我失望的一本小说，内容牵强，故作悬念。
0	披着文革外皮的《第一次亲密接触》……
0	书很好看，可是竟然漏了十几页，晕死。。。。怎么搞的啊！！！！
0	不懂为什么有那么多人推荐，而且排行榜那么靠前。
0	很炒作的小说，只能是不入流的作品！
0	看不下去的书.给朋友们看,都不知好在哪里.
0	本书写得实在不怎样，实用性不强，趣味性太差
0	司空见惯的东西，有一种上当的感觉！
0	性价比太低，太低。还用彩页印刷。真是的。
0	觉得不好笑。。。。觉得么说的那么好啊。
0	我看一般，可读性不强，有些牵强附会
0	写的一般，完全没有价值，不值得买，买了也不值得看。
0	完全不是我想要的书！！！内容一点都不实用。
0	12月5日的订单，12月12日尚未收到书
0	我的书从106一下子跳到119！！！！非常气愤！！！！明天就找客服去！！
0	我定了3本书,只收到1本,这本没送货,也不知理由
0	我同时要的两本书,另一本来了,这本却没有.收了钱 却不给书,凭什么???
0	无聊死了~~~~~~~~~~~~~买来真是浪费钱~~~~~~~~~~~
0	以后买韩国佬的东西先三思再四思,思过以后不要买.
0	乱七八糟,错漏百出,没想到当当还卖这样的书!
0	啊，这种书还是少买的好，只适合小学生看~
0	怎么都两个多星期了 还没有收到 书。。。气愤。。。。
0	买错了，高中毕业就不必看了，没什么好处。
0	..   不怎么样拉，都是很烂的笑话加几个单词而已，贵哦。得考虑呢。。。
0	帮朋友买嘚...话一点都晤好笑...闷
0	说送礼卷也不送！我在也不来当当买东西了
0	花钱去买, 不值得, 建议要买的人三思
0	并没推荐的写的那么搞笑~~很一般的书!!
0	不知道是我没用 还是书没用总之 没用
0	韩国的书，不适合中国国情！韩国的书，不适合中国国情！
0	还没买的朋友...就不用买了 ......
0	从当当买了上百本书了，这本的味道太大了，看一会儿闻的我恶心。
0	不要跟据某些人(qian shou)的评论买本书.
0	怎么十来天了书还不到呀,快！快！快！快！
0	买了就后悔了，没什么用，趣味性也不强
0	我还以为很搞笑,买来才发现也不怎么样啊
0	于丹每天讲如何如何学习孔子、庄子，如何有心得（中学作文：读后感）。很多东西非常牵强，让人不可理解。于丹开口闭口讲不为功不为利，可为什么招摇过市，搞了那么多炒作活动！说到底，为了什么呢---名利。天下熙熙，皆为利来；天下攘攘，皆为利往。于丹真是活学活用的楷模！
0	此书让人感觉很是恶心，我完全是头脑发热了才买回来的。她现在又弄起庄子来了，真的叫做“孔子很着急！庄子很生气”我感到很恶心！简直胡讲一通！让人无语评论！
0	用了QQ10元礼券以后，就是那么好奇一下子，看撤单以后这个礼券还能不能用，竟然说，不能用!辛辛苦苦赚来的10块钱！！！！竟然就这么被毁了！不还我的钱，就和当当没门！！！！！！竟然还说周六日不上班！还我10元礼券，我接着买东西，不还的话，和你没完！这群猪脑子，系统设置的时候就没有对顾客多考虑过！
0	完全是套话 空话 没有一点点实质上的内容……建议不要买……
0	只要读一读南怀瑾老先生的《论语别裁》，就发现于丹的心得是多么的肤浅，感觉南怀瑾与于丹在一起，就象大学教授与小学生在一起一样。
0	看过于丹解读论语的视频，受益匪浅，想要买本书来收藏。明明都提交成功了，却没到货，无比郁闷……
0	怎么读《论语》，是于丹自己的事；这么读《论语》，是中国历史的过错；这样说《论语》，就是于丹的罪恶了。
0	太不喜欢了，连快餐都算不上。非常的后悔买了这样一本书。特想退货。哈！
0	写得很烂，胡言乱语写得很烂，胡言乱语
0	不好看，没深度，适合初中生阅读。
0	买了马上就后悔了，冲动是魔鬼，炒作是魔鬼的爸爸！
0	内容和见地一般，说教太多，很失望。
0	很一般呀,这类书,不深刻,全是炒作.
0	于丹的<<论语心得>>简直就是胡说八道。除了《论语》之外,她讲的全都对!她的演讲对于构建和谐社会很有好处，却歪曲了孔子的基本精神。这本书叫《于丹心得》更准确一些。
0	书是看完了，我感觉于丹先生更像一位幼儿园老师。
0	写的还好,就是看着看着就不想在看了.
0	觉得一般觉得一般觉得一般觉得一般觉得一般
0	于丹教授讲《论语》不能很正确地反映儒家原来的思想，她除了讲《论语》不好外，别的还可以。
0	只有口号，没有深度。杂乱无章，正是浪费我们的时间。不过可能针对的读者对象不一样。建议看国学，还是要看南怀瑾的。深度、广度、融会贯通、严谨谦逊的态度，在现在这些所谓做学问的人当中，已经很难找到像南怀瑾这样的人了。
0	盛名之下,难符其实.易中天的序也甚敷衍.
0	看了一般就送人了,看不进去了,呵呵
0	看了一小半，觉得没什么启发，放弃。ps：于丹名气这么大，也可能是我悟性差：－）
0	电视看看，也就罢了，内容其实与我们平常所了解的没有多大区别了。
0	一般的书。。。。。。。。。。。。。
0	写的有点太浅了，而且觉得于丹不像个学者，样子太刻薄，有点炒作的嫌疑...
0	没看过她的讲座，所以买了她的书看看，结果大失所望，真想不到为什么会有那么多人去追捧这本书。太简单，没深度，从另一方面也反映了我们大众对传统经典的陌生。
0	有点哗众取宠的意思，而且印刷上也太糊弄人：每一页面差不多只有2/3有字
0	讲的都是真理、道理，词藻华丽太做作。
